mn_code,mn_name,mn_pop,mn_avg_age
160,Matzikama,67141,30.200771510701358
161,Cederberg,49755,30.67008340870264
162,Bergrivier,61866,31.244075905990368
163,Saldanha Bay,98819,29.711745716916788
164,Swartland,113795,30.417294257216927
165,Witzenberg,116100,29.097795004306633
166,Drakenstein,251046,29.789006795567346
167,Stellenbosch,155714,29.1919095264395
168,Breede Valley,166673,29.183893012065543
169,Langeberg,97596,29.579490962744377
170,Swellendam,35901,31.175510431464303
171,Theewaterskloof,108571,29.903040406738448
172,Overstrand,80253,34.67967552614856
173,Cape Agulhas,33064,33.05788773288168
174,Kannaland,24787,30.67922701416065
175,Hessequa,52736,34.08741656553398
176,Mossel Bay,89197,33.307162796955055
177,George,193274,30.33260034976251
178,Oudtshoorn,95817,30.047684648861892
179,Bitou,49058,30.350686941987036
180,Knysna,68408,31.618772658168634
181,Laingsburg,8330,31.63781512605042
182,Prince Albert,13171,29.502695315465797
183,Beaufort West,49614,28.82770992058693
199,City of Cape Town,3732738,29.77879267175998
260,Buffalo City,750170,29.4407147713185
261,Camdeboo,50818,29.18965720807588
262,Blue Crane Route,35885,29.9897728856068
263,Ikwezi,10540,29.494686907020874
264,Makana,79974,29.838685072648612
265,Ndlambe,60757,32.45147061243972
266,Sundays River Valley,54320,29.05830265095729
267,Baviaans,17812,29.29614866382214
268,Kouga,98078,30.60798548094374
269,Kou-Kamma,40485,28.33429665308139
270,Mbhashe,250682,25.91039643851573
271,Mnquma,248488,27.995903222690835
272,Great Kei,38716,30.374832110755243
273,Amahlathi,121616,29.484187935797923
274,Ngqushwa,71219,31.694772462404696
276,Nkonkobe,125771,30.28036669820547
277,Nxuba,24202,29.917362201470954
278,Inxuba Yethemba,65217,29.393057025008815
279,Tsolwana,33140,28.479722389861195
280,Inkwanca,21903,28.349769437976533
281,Lukanji,188999,28.49300260847941
282,Intsika Yethu,142648,28.340285177499858
283,Emalahleni,117936,28.411146723646723
284,Engcobo,152848,25.564214121218466
285,Sakhisizwe,62748,27.151000828711673
286,Elundini,136228,27.21604956396629
287,Senqu,132835,27.208800391463093
288,Maletswai,43559,27.06469386349549
289,Gariep,33561,28.442030928756594
290,Ngquza Hill,276028,22.84430202733056
291,Port St Johns,154658,22.948059589545966
292,Nyandeni,288092,23.430945670133152
293,Mhlontlo,185844,25.403639611717356
294,King Sabata Dalindyebo,448225,24.966231245468236
