mp_code,mp_pop,mp_xhosa
199014,95604,12840
199016,112467,2475
199041,433452,10926
199017,54261,495
199053,6561,213
199030,98493,87018
199056,1071,69
199007,11583,162
199005,1557,99
199038,391257,354108
199035,92358,15642
199024,77127,2931
199039,310398,10254
199019,44826,1518
199027,45,6
199015,119436,2721
199022,56058,10992
199034,52293,44478
199004,67524,5166
199045,55146,2499
199047,55512,1173
199020,46674,1425
199013,106086,29040
199057,5592,0
199012,120,45
199051,31962,14955
199018,154512,51456
199040,82149,1464
199037,33213,1647
199002,11901,1602
199042,17859,225
199026,50214,2415
199033,200607,157047
199055,16761,327
199031,57990,52233
199052,11874,60
199036,39201,3477
199046,60522,45042
199008,2292,783
199028,52359,48045
199054,16911,141
199050,36810,5514
199023,151884,57486
199029,237345,4476
199025,42435,207
199010,327,219
199032,36006,32070
199021,56193,663
199043,15561,9237
199003,1668,3
199009,483,0
199001,9030,12
199006,567,6
199048,1563,144
199011,12363,4896
