Summation Options,Geography,Highest educational level,Count
Person weighted,Western Cape,Gade 0,2.7577287
Person weighted,Western Cape,Grade 1 / Sub A,2.3710612
Person weighted,Western Cape,Grade 2 / Sub B,2.1524485
Person weighted,Western Cape,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,2.3601847
Person weighted,Western Cape,Grade 4 / Std 2,2.9048132
Person weighted,Western Cape,Grade 5 / Std 3/ABET 2,3.1614389
Person weighted,Western Cape,Grade 6 / Std 4,3.777925
Person weighted,Western Cape,Grade 7 / Std 5/ ABET 3,5.3130463
Person weighted,Western Cape,Grade 8 / Std 6 / Form 1,7.6634533
Person weighted,Western Cape,Grade 9 / Std 7 / Form 2/ ABET 4,6.697715
Person weighted,Western Cape,Grade 10 / Std 8 / Form 3,9.2770163
Person weighted,Western Cape,Grade 11 / Std 9 / Form 4,6.9619387
Person weighted,Western Cape,Grade 12 / Std 10 / Form 5,19.2924677
Person weighted,Western Cape,NTC I / N1/ NIC/ V Level 2,0.1584996
Person weighted,Western Cape,NTC II / N2/ NIC/ V Level 3,0.161145
Person weighted,Western Cape,NTC III /N3/ NIC/ V Level 4,0.2327962
Person weighted,Western Cape,N4 / NTC 4,0.1597233
Person weighted,Western Cape,N5 /NTC 5,0.1192204
Person weighted,Western Cape,N6 / NTC 6,0.1934911
Person weighted,Western Cape,Certificate with less than Grade 12 / Std 10,0.1227961
Person weighted,Western Cape,Diploma with less than Grade 12 / Std 10,0.2019438
Person weighted,Western Cape,Certificate with Grade 12 / Std 10,0.9942903
Person weighted,Western Cape,Diploma with Grade 12 / Std 10,1.6857426
Person weighted,Western Cape,Higher Diploma,1.9698666
Person weighted,Western Cape,Post Higher Diploma Masters; Doctoral Diploma,0.3315138
Person weighted,Western Cape,Bachelors Degree,1.6604943
Person weighted,Western Cape,Bachelors Degree and Post graduate Diploma,0.6203887
Person weighted,Western Cape,Honours degree,0.7662877
Person weighted,Western Cape,Higher Degree Masters / PhD,0.6746682
Person weighted,Western Cape,Other,0.3281558
Person weighted,Western Cape,No schooling,2.7575267
Person weighted,Western Cape,Unspecified,0
Person weighted,Western Cape,Not applicable,12.1702122
Person weighted,Western Cape,Total,100
Person weighted,10101001: Ward 1,Gade 0,5.1975111
Person weighted,10101001: Ward 1,Grade 1 / Sub A,3.5095347
Person weighted,10101001: Ward 1,Grade 2 / Sub B,3.297002
Person weighted,10101001: Ward 1,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,2.9925193
Person weighted,10101001: Ward 1,Grade 4 / Std 2,3.4661901
Person weighted,10101001: Ward 1,Grade 5 / Std 3/ABET 2,4.2132137
Person weighted,10101001: Ward 1,Grade 6 / Std 4,5.4243593
Person weighted,10101001: Ward 1,Grade 7 / Std 5/ ABET 3,7.489257
Person weighted,10101001: Ward 1,Grade 8 / Std 6 / Form 1,10.3423469
Person weighted,10101001: Ward 1,Grade 9 / Std 7 / Form 2/ ABET 4,9.0786065
Person weighted,10101001: Ward 1,Grade 10 / Std 8 / Form 3,7.8055264
Person weighted,10101001: Ward 1,Grade 11 / Std 9 / Form 4,3.3255356
Person weighted,10101001: Ward 1,Grade 12 / Std 10 / Form 5,14.0256031
Person weighted,10101001: Ward 1,NTC I / N1/ NIC/ V Level 2,0.1031315
Person weighted,10101001: Ward 1,NTC II / N2/ NIC/ V Level 3,0.0795102
Person weighted,10101001: Ward 1,NTC III /N3/ NIC/ V Level 4,0.3326552
Person weighted,10101001: Ward 1,N4 / NTC 4,0.149324
Person weighted,10101001: Ward 1,N5 /NTC 5,0.0504834
Person weighted,10101001: Ward 1,N6 / NTC 6,0.0961905
Person weighted,10101001: Ward 1,Certificate with less than Grade 12 / Std 10,0.0989492
Person weighted,10101001: Ward 1,Diploma with less than Grade 12 / Std 10,0.0740917
Person weighted,10101001: Ward 1,Certificate with Grade 12 / Std 10,0.4544243
Person weighted,10101001: Ward 1,Diploma with Grade 12 / Std 10,1.0875317
Person weighted,10101001: Ward 1,Higher Diploma,0.3848267
Person weighted,10101001: Ward 1,Post Higher Diploma Masters; Doctoral Diploma,0.0543393
Person weighted,10101001: Ward 1,Bachelors Degree,0.6504467
Person weighted,10101001: Ward 1,Bachelors Degree and Post graduate Diploma,0.1778304
Person weighted,10101001: Ward 1,Honours degree,0.1215336
Person weighted,10101001: Ward 1,Higher Degree Masters / PhD,0.0892429
Person weighted,10101001: Ward 1,Other,0.0982652
Person weighted,10101001: Ward 1,No schooling,4.2379957
Person weighted,10101001: Ward 1,Unspecified,0
Person weighted,10101001: Ward 1,Not applicable,11.4920223
Person weighted,10101001: Ward 1,Total,100
Person weighted,10101002: Ward 2,Gade 0,3.64447
Person weighted,10101002: Ward 2,Grade 1 / Sub A,2.9343801
Person weighted,10101002: Ward 2,Grade 2 / Sub B,2.9511392
Person weighted,10101002: Ward 2,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.0019553
Person weighted,10101002: Ward 2,Grade 4 / Std 2,3.487954
Person weighted,10101002: Ward 2,Grade 5 / Std 3/ABET 2,4.4060419
Person weighted,10101002: Ward 2,Grade 6 / Std 4,4.9660913
Person weighted,10101002: Ward 2,Grade 7 / Std 5/ ABET 3,6.1318717
Person weighted,10101002: Ward 2,Grade 8 / Std 6 / Form 1,12.4639973
Person weighted,10101002: Ward 2,Grade 9 / Std 7 / Form 2/ ABET 4,7.6512984
Person weighted,10101002: Ward 2,Grade 10 / Std 8 / Form 3,7.9622509
Person weighted,10101002: Ward 2,Grade 11 / Std 9 / Form 4,3.5340713
Person weighted,10101002: Ward 2,Grade 12 / Std 10 / Form 5,13.2324576
Person weighted,10101002: Ward 2,NTC I / N1/ NIC/ V Level 2,0.143054
Person weighted,10101002: Ward 2,NTC II / N2/ NIC/ V Level 3,0.1088366
Person weighted,10101002: Ward 2,NTC III /N3/ NIC/ V Level 4,0.2708605
Person weighted,10101002: Ward 2,N4 / NTC 4,0.0849733
Person weighted,10101002: Ward 2,N5 /NTC 5,0.0789086
Person weighted,10101002: Ward 2,N6 / NTC 6,0.3206855
Person weighted,10101002: Ward 2,Certificate with less than Grade 12 / Std 10,0.0419776
Person weighted,10101002: Ward 2,Diploma with less than Grade 12 / Std 10,0.0617835
Person weighted,10101002: Ward 2,Certificate with Grade 12 / Std 10,0.4515906
