ward_id,gade_0,grade_1_sub_a,grade_2_sub_b,grade_3_std_1_abet_1kha_ri_gude_sanli,grade_4_std_2,grade_5_std_3_abet_2,grade_6_std_4,grade_7_std_5_abet_3,grade_8_std_6_form_1,grade_9_std_7_form_2_abet_4,grade_10_std_8_form_3,grade_11_std_9_form_4,grade_12_std_10_form_5,ntc_i_n1_nic_v_level_2,ntc_ii_n2_nic_v_level_3,ntc_iii_n3_nic_v_level_4,n4_ntc_4,n5_ntc_5,n6_ntc_6,certificate_with_less_than_grade_12_std_10,diploma_with_less_than_grade_12_std_10,certificate_with_grade_12_std_10,diploma_with_grade_12_std_10,higher_diploma,post_higher_diploma_masters_doctoral_diploma,bachelors_degree,bachelors_degree_and_post_graduate_diploma,honours_degree,higher_degree_masters_ph_d,other,no_schooling,unspecified,not_applicable
10101001,5.198,3.51,3.297,2.993,3.466,4.213,5.424,7.489,10.342,9.079,7.806,3.326,14.026,0.103,0.08,0.333,0.149,0.05,0.096,0.099,0.074,0.454,1.088,0.385,0.054,0.65,0.178,0.122,0.089,0.098,4.238,0,11.492
10101002,3.644,2.934,2.951,3.002,3.488,4.406,4.966,6.132,12.464,7.651,7.962,3.534,13.232,0.143,0.109,0.271,0.085,0.079,0.321,0.042,0.062,0.452,1.514,1.571,0.196,0.939,0.306,0.212,0.074,0.217,3.544,0,13.496
10101003,3.796,3.468,3.376,3.646,3.812,4.031,4.878,7.799,9.537,8.515,8.875,5.851,11.998,0.121,0.121,0.368,0.017,0.105,0.095,0.035,0.127,0.124,0.815,0.495,0,0.402,0.163,0.204,0.228,0.09,5.626,0,11.282
10101004,3.921,3.738,2.538,3.009,3.742,4.062,5.46,7.693,10.468,7.066,9.068,4.184,13.006,0.207,0.131,0.173,0.126,0.101,0.136,0.024,0.131,0.253,0.769,0.495,0.052,0.383,0.121,0.175,0.055,0.093,3.751,0,14.867
10101005,3.084,2.982,2.819,3.609,4.635,3.856,6.46,7.572,8.023,5.205,6.916,2.425,15.799,0.075,0.217,0.257,0.138,0.156,0.678,0.016,0.085,0.461,2.049,2.857,0.311,1.714,0.458,0.455,0.227,0.346,5.21,0,10.904
10101006,4.268,2.804,2.78,3.425,3.026,4.235,5.739,7.343,9.089,9.84,11.324,4.571,12.862,0.181,0.221,0.049,0.118,0.054,0.083,0.034,0,0.178,0.697,0.625,0.067,0.314,0.099,0.153,0.034,0.124,5.149,0,10.514
10101007,3.089,2.686,2.242,2.781,3.49,4.492,6.149,7.132,9.353,7.368,9.069,3.507,14.501,0.101,0.197,0.186,0.118,0.07,0.204,0.04,0.07,0.228,0.96,1.156,0.117,0.65,0.164,0.222,0.167,0.04,5.489,0,13.963
10101008,3.715,3.995,3.13,3.73,3.253,5.331,6.426,9.408,11.866,7.362,7.071,3.205,9.938,0.013,0.125,0.17,0.033,0.075,0.121,0.038,0.041,0.528,0.73,0.857,0.074,0.288,0.092,0.079,0.136,0.12,5.75,0,12.3
10102001,3.34,3.405,2.879,3.297,4.276,5.274,7.476,8.179,9.381,10.542,8.074,4.517,9.414,0.092,0.065,0,0.055,0,0.074,0,0.018,0.129,0.231,0.185,0,0.232,0.055,0.185,0.148,0.047,7.459,0,10.971
10102002,2.783,2.629,1.839,2.641,2.982,3.335,4.091,5.476,8.744,7.33,8.499,4.336,18.497,0.076,0.233,0.244,0.207,0.038,0.097,0.059,0.388,0.413,0.895,0.754,0.145,0.533,0.218,0.32,0.204,0.058,3.361,0,18.574
10102003,3.426,3.478,3.028,3.023,3.873,4.168,5.453,8.049,7.971,7.793,8.31,5.419,13.828,0.183,0.064,0.139,0.125,0.047,0.15,0.045,0.158,0.416,0.957,0.789,0.048,0.468,0.247,0.166,0.061,0.148,5.613,0,12.357
10102004,4.271,3.39,3.121,3.733,4.284,4.674,7.433,8.875,8.932,7.061,7.245,3.407,10.153,0.075,0.035,0.148,0.118,0.059,0.121,0.019,0.032,0.217,0.609,0.847,0.043,0.254,0.113,0.093,0.106,0.05,7.136,0,13.348
10102005,3.764,2.979,2.162,2.852,3.197,3.502,5,7.587,9.989,7.818,8.534,4.979,16.309,0.047,0.079,0.253,0.175,0.174,0.222,0.078,0.172,0.54,1.419,1.331,0.199,0.423,0.117,0.152,0.137,0.409,3.25,0,12.153
10102006,3.201,2.972,2.64,3.625,4.576,6.211,7.567,10.406,9.236,6.543,5.41,3.705,12.714,0.049,0.049,0.098,0.04,0.04,0.08,0,0.122,0.388,1.096,0.638,0.049,0.503,0.229,0.289,0.226,0.122,6.464,0,10.715
10103001,3.093,2.64,2.816,3.423,3.756,4.868,5.696,5.577,6.667,5.056,6.581,3.365,14.431,0,0.029,0.085,0.084,0.034,0.162,0.01,0.039,0.628,2.746,0.724,0.024,0.892,0.265,0.383,0.354,0.256,7.791,0,17.528
10103002,3.36,2.688,2.735,4.364,4.943,4.997,6.838,8.337,10.217,8.409,7.883,4.15,12.971,0.045,0,0,0.045,0.023,0,0,0,0.474,0.136,0.045,0,0,0.023,0,0.023,0.081,6.765,0,10.448
10103003,3.257,2.891,2.561,3.013,3.985,4.746,6.226,8.218,8.152,5.761,6.646,2.887,14.186,0.069,0.155,0.291,0.128,0.134,0.141,0.027,0.153,0.999,2.575,2.119,0.219,0.98,0.455,0.339,0.189,0.147,6.504,0,11.847
10103004,2.755,2.711,2.551,3.207,4.397,5.005,5.426,8.433,10.012,8.003,7.822,5.606,13.287,0.15,0.087,0.061,0.025,0,0.026,0.038,0.05,0.123,0.564,0.601,0.059,0.183,0.025,0.113,0.013,0.026,4.181,0,14.46
10103005,3.298,2.666,1.862,2.953,3.64,4.433,5.886,8.532,9.653,6.558,7.027,4.372,11.028,0.063,0.063,0.11,0.139,0.054,0.114,0.083,0.101,0.15,0.519,1.05,0.103,0.48,0.112,0.1,0.112,0.128,3.823,0,20.787
10103006,2.251,2.642,2.496,2.886,3.965,4.288,4.841,7.842,7.644,5.304,8.283,2.111,14.504,0.033,0.033,0.343,0.064,0,0.086,0.064,0.148,1.251,1.589,1.621,0.165,0.825,0.593,0.219,0.535,0.373,4.881,0,18.118
10103007,2.687,2.118,1.839,2.577,2.559,3.427,4.488,6.476,9.085,7.103,11.953,4.756,20.518,0.191,0.277,0.276,0.149,0.091,0.117,0.176,0.257,0.725,1.511,1.188,0.248,0.808,0.203,0.253,0.252,0.311,3.318,0,10.065
10104001,2.966,2.186,2.07,2.606,2.762,2.675,3.6,5.567,10.076,10.43,11.995,10.914,16.594,0.198,0.141,0.182,0.098,0.07,0.028,0.058,0.103,0.155,0.495,0.153,0.014,0.1,0.028,0.028,0.014,0.062,1.488,0,12.146
10104002,2.798,3.336,2.786,3.011,4.092,3.846,5.686,7.117,10.412,10.082,9.76,7.848,10.789,0.033,0.056,0.125,0.089,0.045,0.081,0.034,0.044,0.984,0.107,0.123,0.022,0.034,0.011,0,0.011,0.044,3.82,0,12.775
10104003,2.471,1.756,1.455,2.105,2.275,2.217,2.985,4.544,7.254,4.959,7.918,4.918,15.442,0.155,0.093,0.252,0.192,0.038,0.079,0.057,0.3,0.57,0.705,1.102,0.115,0.693,0.272,0.327,0.27,0.111,1.052,0,33.317
10104004,3.055,3.536,2.653,3.362,3.941,4.725,5.877,7.498,10.965,10.12,10.2,6.807,12.183,0.041,0.041,0.068,0.014,0.014,0.014,0.045,0,0.083,0.142,0.063,0,0.027,0.027,0.014,0.013,0.124,2.245,0,12.103
10104005,2.403,1.414,1.609,1.235,1.855,1.758,2.27,2.91,4.481,3.517,10.169,3.973,31.734,0.405,0.964,1.048,0.465,0.467,0.917,0.12,0.292,1.134,2.431,5.037,0.823,2.79,1.104,1.04,1.167,0.223,1.637,0,8.606
10104006,2.188,1.794,1.647,1.579,2.115,2.589,2.82,4.248,6.17,3.697,7.959,3.994,31.485,0.158,0.491,0.618,0.562,0.338,0.498,0.19,0.252,1.649,2.68,3.708,0.686,2.238,0.77,0.818,1.02,0.892,2.064,0,8.083
10104007,3.072,2.3,2.912,3.263,3.939,5.43,6.691,8.513,9.827,7.155,8.041,4.291,15.974,0.111,0.223,0.306,0.16,0.058,0.08,0.093,0.13,0.536,1.472,1.372,0.214,0.481,0.202,0.184,0.131,0.146,4.001,0,8.694
10104008,2.478,1.88,1.623,1.79,1.994,2.288,2.688,2.207,5.209,4.334,11.772,3.929,34.837,0.444,0.578,0.878,0.746,0.459,0.728,0.115,0.192,3.504,1.821,2.556,0.166,1.253,0.479,0.252,0.311,0.359,1.49,0,6.641
10104009,2.308,2.057,1.48,1.885,3.243,3.166,3.667,5.628,7.21,8.827,11.509,13.7,16.611,0.548,0.206,0.119,0.132,0.089,0.105,0.089,0.089,0.749,0.3,0.076,0.015,0.122,0.029,0,0.074,0.151,2.856,0,12.959
10104010,2.887,2.038,2.272,2.227,2.723,3.182,4,4.881,8.073,6.239,8.802,3.645,23.993,0.138,0.296,0.454,0.54,0.369,0.384,0.071,0.197,0.895,1.798,1.742,0.255,1.169,0.355,0.398,0.333,0.188,2.877,0,12.58
10104011,2.299,1.966,1.843,3.027,3.221,3.831,4.797,7.834,8.602,7.447,11.049,4.726,17.855,0.132,0.152,0.364,0.236,0.089,0.234,0.262,0.348,1.157,1.469,1.774,0.407,1.059,0.673,0.412,0.645,0.748,2.291,0,9.051
10104012,2.3,3.027,2.194,2.606,3.342,3.822,4.599,7.165,10.104,11.066,12.072,8.567,10.894,0.155,0.043,0.113,0.084,0.056,0.056,0.098,0.042,0.24,0.564,0.308,0.07,0.044,0.042,0.014,0.014,0.07,3.697,0,12.533
10104013,3.038,2.329,2.331,2.277,2.443,3.109,3.583,6.263,8.95,7.224,11.845,6.186,22.008,0.222,0.271,0.34,0.353,0.135,0.118,0.169,0.064,1.001,0.81,0.829,0.085,0.287,0.135,0.14,0.124,0.305,2.427,0,10.601
10105001,2.157,1.919,1.759,2.835,3.099,3.057,3.934,4.656,4.705,3.58,5.697,2.708,12.302,0.046,0.167,0.292,0.091,0.098,0.166,0,0.116,0.535,0.991,1.429,0.16,1,0.292,0.52,0.241,0.157,3.361,0,37.93
10105002,3.506,2.837,2.306,3.175,3.84,3.962,6.197,7.985,8.215,7.033,8.915,4.868,14.053,0.076,0.116,0.133,0.078,0.129,0.093,0.05,0.176,0.615,1.41,1.339,0.102,0.477,0.222,0.223,0.228,0.078,6.179,0,11.385
10105003,3.377,3.162,2.927,3.502,5.097,5.464,7.168,7.84,7.687,6.458,5.75,3.021,13.781,0.053,0.057,0.176,0.089,0.068,0.12,0.027,0.122,0.234,0.954,1.534,0.124,0.832,0.314,0.242,0.298,0.365,6.732,0,12.426
10105004,3.284,2.787,2.479,3.384,4.327,4.726,4.915,6.813,7.488,7.48,6.949,4.04,11.043,0.026,0.085,0.155,0.092,0.056,0.075,0.136,0.249,0.468,0.531,0.92,0.089,0.512,0.226,0.273,0.209,0.16,5.433,0,20.592
10105005,2.953,2.398,2.042,2.374,4.2,3.946,5.979,6.751,6.773,6.352,8.047,3.639,19.137,0.089,0.106,0.35,0.285,0.157,0.237,0.156,0.299,0.846,2.141,2.419,0.551,2.006,0.568,0.617,0.876,0.698,4.411,0,8.595
10105006,2.654,3.942,3.067,3.334,5.218,4.796,6.496,7.915,9.246,8.776,8.932,5.101,11.124,0,0.102,0.037,0.088,0.015,0.075,0.058,0.052,0.134,0.723,0.505,0.029,0.304,0.18,0.105,0.096,0.072,5.529,0,11.297
10105007,3.673,2.887,2.42,3.295,3.95,4.407,4.945,6.991,6.992,6.069,7.855,3.948,15.134,0.129,0.087,0.223,0.066,0.074,0.065,0.055,0.08,0.236,0.761,1.103,0.126,0.749,0.16,0.2,0.144,0.098,4.518,0,18.559
10105008,2.521,1.637,2.197,1.862,2.358,2.114,2.861,4.31,5.598,4.613,9.166,4.002,22.695,0.068,0.152,0.395,0.22,0.244,0.317,0.087,0.887,1.781,1.86,2.854,0.246,1.306,0.64,0.525,0.561,0.382,2.198,0,19.342
10105009,2.49,2.959,2.175,2.72,3.979,3.207,3.857,4.663,10.322,9.907,10.381,11.95,13.456,0.128,0.082,0.07,0.014,0.014,0.072,0,0.096,0.07,0.283,0.064,0.055,0.125,0.072,0.015,0.057,0.041,3.974,0,12.706
10105010,2.434,1.165,1.368,1.222,1.441,1.907,1.992,2.522,4.974,3.315,7.926,3.442,30.698,0.141,0.292,0.471,0.402,0.208,0.433,0.219,0.289,1.233,2.838,5.694,0.406,3.481,1.081,1.307,0.587,0.331,1.587,0,14.591
10105011,3.273,3.163,3.185,3.139,3.769,4.263,5.658,7.89,7.684,7.904,10.8,6.06,16.216,0.038,0.013,0.013,0.092,0.025,0.025,0.025,0.012,0.013,0.153,0.139,0.025,0.076,0,0,0.013,0.064,5.432,0,10.839
10105012,2.96,2.972,3.329,3.445,4.46,5.607,5.46,7.741,8.497,6.493,6.247,2.708,9.264,0.077,0.064,0.088,0.021,0.083,0.067,0.069,0.024,0.381,0.712,1.459,0.156,0.978,0.235,0.47,0.234,0.045,6.407,0,19.247
10202001,2.661,3.448,2.428,3.351,4.092,4.941,4.982,6.568,8.649,9.649,8.917,10.11,11.361,0.017,0.018,0,0.102,0.017,0.066,0.051,0.064,0.574,0.3,0.232,0,0.17,0.116,0.098,0.017,0.017,5.669,0,11.317
10202002,3.791,3.164,2.974,3.883,5.343,4.521,5.676,7.859,11.137,7.478,7.01,3.474,14.709,0.056,0.05,0.05,0.031,0.081,0.25,0.049,0.112,0.354,1.046,1.021,0.062,1.005,0.131,0.434,0.236,0.057,4.401,0,9.556
10202003,2.789,2.623,2.579,3.265,4.394,4.458,5.542,6.109,8.192,5.933,7.872,4.104,16.156,0.234,0.152,0.24,0.143,0.153,0.22,0.104,0.309,1.086,2.094,2.408,0.322,1.07,0.597,0.59,0.333,0.153,3.307,0,12.472
10202004,3.459,2.645,2.841,2.981,3.779,4.145,4.859,7.298,9.107,7.24,9.424,5.314,17.774,0.076,0.016,0.082,0.196,0.112,0.187,0.033,0.211,0.382,1.377,1.248,0.157,0.787,0.251,0.421,0.409,0.261,4.817,0,8.112
10202005,2.827,2.849,2.678,3.302,4.45,4.444,4.899,6.61,9.16,7.09,6.042,4.213,15.596,0.093,0.187,0.304,0.258,0.183,0.341,0.192,0.342,1.208,2.577,2.079,0.254,1.136,0.522,0.692,0.187,0.194,4.247,0,10.842
10202006,3.51,3.163,2.994,3.138,3.907,5.286,5.439,7.912,9.787,8.225,10.075,6.332,14.313,0.086,0.043,0.065,0.107,0.053,0.032,0.021,0.021,0.732,0.374,0.131,0.054,0.275,0.055,0.033,0.119,0.184,3.644,0,9.891
10202007,3.356,3.259,3.03,3.374,4.492,4.654,5.247,7.427,10.477,7.837,8.684,4.496,13.272,0.076,0.06,0.12,0.112,0.151,0.124,0.024,0.05,0.439,1.152,0.767,0.071,0.304,0.079,0.23,0.11,0.121,4.827,0,11.576
10202008,1.941,2.545,1.96,2.846,3.996,4.75,6.974,8.783,10.14,12.251,10.291,7.973,10.819,0.17,0.019,0.038,0.057,0.019,0.038,0,0.019,0.132,0.264,0.565,0,0.302,0.038,0.075,0,0.057,6.258,0,6.683
10202009,2.024,2.604,2.592,3.183,3.841,4.513,6.458,9.026,9.229,10.044,10.029,7.867,9.886,0.038,0.023,0.019,0.038,0.019,0,0.019,0.068,0.012,0.777,0.959,0.05,0.34,0.209,0.39,0.294,0.075,6.371,0,9.003
10202010,2.332,3.321,3.323,3.662,5.599,5.365,7.361,10.146,10.376,9.466,7.52,5.785,7.839,0.087,0.095,0.038,0,0.019,0,0.019,0.019,0,0.171,0.183,0.038,0.171,0,0.019,0.019,0.038,7.294,0,9.692
10202011,2.38,3.495,2.852,3.016,4.394,4.778,5.578,7.954,10.26,7.332,8.094,4.914,12.081,0.067,0.045,0.115,0.064,0.019,0.073,0.019,0.115,0.265,0.988,0.622,0.118,0.68,0.229,0.215,0.184,0.156,5.139,0,13.76
10202012,3.046,2.465,2.46,3.458,4.168,4.593,6.485,7.625,9.608,8.892,6.878,7.284,9.225,0.035,0.122,0.022,0.033,0.026,0.071,0.038,0.065,0.232,0.388,0.298,0.087,0.134,0.086,0.071,0,0.36,5.892,0,15.854
10203001,3.135,3.038,3.328,3.986,4.683,4.722,5.883,7.431,10.74,7.586,7.528,4.509,10.972,0.077,0.077,0.058,0.039,0.019,0.194,0,0.097,0.484,1.239,0.987,0.271,1.084,0.871,0.639,0.464,0.271,5.302,0,10.286
10203002,1.81,0.932,1.023,1.202,1.451,1.526,1.002,1.733,2.292,1.618,5.395,2.131,27.687,0.193,0.213,0.772,0.801,0.284,1.089,0.212,0.534,2.825,6.753,7.614,0.799,7.433,2.049,2.675,1.916,0.425,1.048,0,12.562
10203003,3.4,2.755,2.453,4.072,4.572,5.004,6.275,8.756,9.103,7.6,7.53,4.783,9.925,0.066,0.037,0.136,0.047,0.09,0.259,0.053,0.167,0.661,1.222,1.402,0.134,0.875,0.32,0.478,0.347,0.292,7.059,0,10.127
10203004,1.792,0.847,1.177,0.993,1.358,0.861,1.264,1.583,2.827,1.719,4.891,2.479,23.327,0.247,0.318,0.411,0.48,0.161,0.767,0.211,0.829,1.805,4.777,5.467,1.184,6.925,2.604,3.135,3.465,1.309,1.051,0,19.735
10203005,3.007,2.923,2.659,3.385,4.212,4.043,4.977,6.938,8.953,9.112,9.834,10.553,11.177,0.123,0.088,0.049,0.038,0.012,0.036,0.037,0.025,0.221,0.223,0.064,0.048,0.051,0.038,0.012,0,0.089,4.002,0,13.072
10203006,3.725,3.434,2.69,3.016,3.151,2.866,4.01,5.239,8.412,7.472,9.368,11.303,17.612,0.433,0.164,0.039,0.125,0.063,0.02,0.04,0.181,0.366,0.466,0.262,0.104,0.162,0.142,0.061,0.084,0.06,2.451,0,12.481
10203007,3.433,2.42,2.363,2.824,3.389,4.268,5.06,6.867,9.787,8.772,10.783,5.312,19.654,0.101,0.025,0,0.138,0.102,0.114,0.025,0.05,0.229,0.439,0.517,0.101,0.163,0.138,0.075,0.063,0.226,2.622,0,9.939
10203008,4.489,3.715,2.786,3.502,3.136,3.938,3.886,4.8,7.795,8.612,8.855,12.685,14.143,0.378,0.125,0.187,0.187,0.251,0.125,0,0.311,0.385,0.257,0,0,0.195,0.132,0.06,0,0.126,2.139,0,12.798
10203009,3.315,2.404,2.318,2.231,2.914,3.148,4.015,4.843,7.139,6.015,9.366,13.456,19.634,0.087,0.089,0.157,0.123,0.053,0.035,0.125,0.315,0.35,1.152,0.693,0.208,0.412,0.191,0.155,0.156,0.209,2.734,0,11.957
10203010,3.026,2.196,2.174,2.732,3.588,4.767,4.83,7.602,9.693,9.1,9.793,5.707,17.158,0.058,0.086,0,0.014,0.043,0.029,0.071,0.085,0.327,1.354,0.429,0.085,0.201,0.071,0.086,0.029,0.142,2.94,0,11.584
10203011,3.388,2.434,2.017,2.314,3.4,3.459,4.159,5.919,8.627,7.231,9.561,7.314,23.836,0.059,0.02,0.049,0.078,0.175,0.205,0.039,0.058,0.365,0.808,1.097,0.128,0.262,0.098,0.156,0.128,0.139,2.151,0,10.326
10203012,3.978,2.37,2.083,2.357,2.791,3.037,3.411,5.044,8.837,6.126,9.411,12.008,19.558,0.273,0.147,0.094,0.13,0.092,0.091,0.109,0.036,1.67,0.783,0.535,0.093,0.601,0.089,0.199,0.089,0.257,2.775,0,10.927
