Geography,No income,R 1 - R 400,R 401 - R 800,R 801 - R 1 600,R 1 601 - R 3 200,R 3 201 - R 6 400,R 6 401 - R 12 800,R 12 801 - R 25 600,R 25 601 - R 51 200,R 51 201 - R 102 400,R 102 401 - R 204 800,R 204 801 or more,Unspecified,Not applicable
21001001: Ward 1,36.4820405,22.860409,3.6436993,19.7004102,4.139428,2.1993906,2.1009615,1.5772102,0.3903069,0.2075389,0.0880762,0.0804807,4.6775929,1.852455
21001002: Ward 2,26.8928704,9.1554515,3.2601199,13.2802747,5.3596782,6.2093455,5.9001458,4.3992698,1.3243387,0.2929601,0.1363421,0.0884568,8.283526,15.4172205
21001003: Ward 3,46.266585,16.1721668,3.8027647,16.9165702,6.0455061,2.5651583,1.101831,0.4389417,0.1329947,0,0.0379985,0.0569977,6.4624852,0
21001004: Ward 4,33.9074685,19.7804637,3.377737,13.2526628,4.9140331,3.2097025,3.7223102,2.4351883,0.4749246,0.053662,0.0323508,0.0425732,4.8752987,9.9216245
21001005: Ward 5,48.382239,7.5143285,5.1172821,14.0386146,7.0086916,1.998214,1.1776807,0.5049831,0.1681744,0.0373721,0.0556406,0.0369545,13.9598249,0
21001006: Ward 6,42.0423587,18.3338364,3.7704782,16.9253091,4.3708996,3.5514173,1.933233,0.6262825,0.1737154,0,0.0339466,0,8.2385232,0
21001007: Ward 7,26.6361028,14.7152227,7.1623746,22.8914306,5.995716,2.5069667,3.1251242,2.399245,0.5289981,0.3846543,0.1868473,0.1690345,6.075502,7.2227813
21002001: Ward 1,38.2268859,22.5729514,4.2155643,20.645362,5.7819401,2.1831753,1.4280705,1.0728636,0.2419755,0.1165427,0.0230184,0.0228285,3.0055383,0.4632835
21002002: Ward 2,35.6485566,17.7297682,4.4063214,12.9477885,4.7887439,3.504592,3.854996,2.767474,0.6719072,0.1126535,0.1260451,0.0623774,4.9751373,8.4036388
21002003: Ward 3,44.0164073,18.6590651,4.2846028,17.6401907,4.0315598,2.8745992,2.0995759,1.0220731,0.1704716,0,0.0496048,0.0319,5.1199498,0
21002004: Ward 4,41.5948529,16.0618886,4.3388758,19.9394463,5.0043673,1.7442462,1.3681964,1.1005073,0.2141286,0.0932874,0.1243832,0.0382119,6.4054225,1.9721857
21002005: Ward 5,41.4060325,16.6848222,3.6279007,17.1959632,6.4337535,4.4681936,3.0331617,2.0356064,0.3505398,0.0216202,0.0818578,0.0199063,4.1081241,0.5325181
21002006: Ward 6,35.5125805,19.1618397,4.7312533,22.2904387,4.345945,2.1273709,1.8584621,0.9405039,0.2463849,0.1800234,0.1326999,0.0600078,6.8023149,1.610175
21003001: Ward 1,33.5320304,10.1931175,4.8772322,19.6824576,5.0224958,3.5420013,4.2520239,1.9705873,0.1934316,0.087855,0.2109409,0,9.7498134,6.6860131
21003002: Ward 2,39.6681891,19.4531773,5.9461627,20.5132246,3.4920973,1.5596515,1.513916,0.7159906,0.2212558,0,0,0.0278104,6.8885248,0
21003003: Ward 3,28.0274094,10.3516106,10.3456581,18.470256,2.950272,2.7738783,1.4277651,0.6757019,0,0.117845,0.117845,0,24.4862349,0.2555237
21003004: Ward 4,31.8724643,9.3913406,8.9191102,22.4406547,2.3534177,1.801917,1.5485045,0.9219224,0.1499605,0.0457089,0,0,20.5549993,0
21004001: Ward 1,29.8139414,17.3564266,8.0639385,24.9028314,8.3599184,2.9016644,3.0389074,1.4705728,0.7384664,0.1873514,0.0624505,0,3.1035309,0
21004002: Ward 2,47.7094356,14.2680233,3.1264966,16.1751352,5.4812053,3.9555318,3.2569905,0.9235619,0.2807159,0.0306796,0.0628544,0.0154933,4.3756754,0.3382011
21004003: Ward 3,47.8352598,8.8880261,3.6787001,13.4632201,5.9488342,4.0367931,3.8929064,3.3601053,1.4989284,0.4410612,0.1850556,0.0852749,6.6858349,0
21004004: Ward 4,37.4588889,2.4869248,2.0082812,8.457076,6.5446403,6.5019196,7.8646431,6.6716141,2.1912582,0.6709698,0.3558483,0.2563924,4.1382864,14.3932568
21004005: Ward 5,41.6294025,23.2399856,4.4521875,16.454458,6.6855907,2.4360211,1.5577797,0.3851382,0.3367408,0,0,0,2.822696,0
21004006: Ward 6,45.2362009,16.7145877,6.0088562,12.9120503,5.47217,4.4204379,3.8931082,1.9881113,0.3329126,0.0467107,0.0941965,0.0483663,2.5773809,0.2549106
21004007: Ward 7,32.2002992,16.4921358,5.9429045,20.1332301,5.8232254,2.5969269,1.5277319,0.4252097,0.111829,0,0,0,14.7465075,0
21004008: Ward 8,29.5971258,4.0432534,1.0634181,6.0217083,5.4039305,6.0832573,7.5602931,6.9886684,1.8201113,0.3344918,0.1434212,0.1909775,4.9345244,25.8148188
21004009: Ward 9,42.7995015,17.8092525,5.3245856,16.2616422,6.0348495,2.7822414,2.6364201,1.7903357,0.2952094,0.0435721,0.0227952,0,4.199595,0
21004010: Ward 10,49.4356622,12.1839505,3.1269722,17.6268179,5.7473746,3.5190997,2.9579581,0.8538087,0.2127394,0,0.0337249,0.0174397,4.2844522,0
21004011: Ward 11,39.8702467,24.0232314,4.6376772,19.8713501,4.957535,1.7370871,1.147557,0.537884,0.2390584,0,0.032925,0,2.9454481,0
21004012: Ward 12,1.7612145,0.1765171,0.1085241,0.2539663,0.6008114,0.9435312,1.1368464,1.4014644,0.6727565,0.034155,0.034155,0.0740521,0.2419561,92.5600498
21004013: Ward 13,32.8685614,13.6495625,5.4574962,18.2773875,6.5716568,3.0943985,2.2777926,1.2199223,0.8809449,0.1420179,0.102139,0,14.7036727,0.7544477
21004014: Ward 14,35.7219222,15.4037138,4.8068961,17.1735605,9.5686863,3.6343557,2.0278461,1.5403347,0.4980316,0.2073026,0.1639265,0.1526604,3.6062168,5.4945466
21005001: Ward 1,42.6627441,24.4371907,3.9560158,18.4794121,4.1848879,1.0278852,1.1158182,0.5871628,0.0977414,0,0.058383,0.0399972,3.3527616,0
21005002: Ward 2,38.0071717,20.4843829,2.5657463,16.1581673,4.6312073,3.4866876,3.7747656,2.2686549,0.7392854,0.1157331,0.0978664,0.1001307,4.763646,2.8065548
21005003: Ward 3,40.4233397,19.7099193,6.0343308,18.2748614,5.4361258,3.7949982,2.4054464,1.2201911,0.4453263,0.1239287,0.0516995,0.05102,1.7668123,0.2620004
21005004: Ward 4,36.9176645,18.6936053,6.8219637,15.2276091,5.6783432,4.3061253,3.0434144,2.5619117,0.9854881,0.4821721,0.2751168,0.251945,4.3117884,0.4428522
21005005: Ward 5,38.5481446,22.6560408,5.1109141,17.6007367,5.3929012,2.8948926,1.6570073,1.1227794,0.261692,0.1034454,0.0701161,0.0867206,4.4312931,0.0633162
21005006: Ward 6,32.6624704,17.9800747,4.479668,21.9699377,6.4466379,3.5110838,3.5789361,2.1196267,0.688035,0.2922808,0.2291983,0.0521652,5.3335825,0.6563028
21005007: Ward 7,45.7884541,19.6710861,4.8571871,17.804767,4.9323854,1.8228096,0.5315366,0.3154035,0.1454774,0.0203828,0.0640382,0.0632698,3.9832023,0
21005008: Ward 8,40.5765678,21.7988209,4.9324241,19.1807078,7.5944548,2.8208855,0.9827719,0.4714851,0.0271729,0.0263636,0.0271729,0.0271729,1.5339997,0
21005009: Ward 9,45.1825084,15.1793008,3.9447419,18.8172003,6.0589077,2.4148567,1.1694972,0.4611961,0.1592129,0,0.0184406,0.0355606,6.4489417,0.1096351
21005010: Ward 10,19.6498767,1.1300705,0.7098909,8.0411497,5.4882244,9.3866449,12.0681037,7.5633397,3.0275318,0.778787,0.3814303,0.1801882,14.4190969,17.1756653
21006001: Ward 1,38.6088286,20.1801491,5.1351532,25.1707553,4.4858322,1.7098242,0.7007597,0.3427752,0.1653022,0,0,0,3.5006203,0
21006002: Ward 2,31.9521958,22.98665,4.4331466,17.4950082,4.9229572,2.6408344,2.2076804,0.9757222,0.271408,0.0445184,0.0445184,0.0599127,4.600875,7.3645725
21006003: Ward 3,38.2659558,20.4352845,4.337199,22.8853079,7.8254747,1.9310447,1.0989744,0.7116076,0.2485397,0.0476518,0.0145246,0.2144332,1.984002,0
21006004: Ward 4,38.20995,21.9034954,3.9551689,19.5541658,7.3997291,2.0566516,0.7802192,0.4785604,0.1585678,0.0243679,0,0.0236421,5.4554817,0
21006005: Ward 5,38.026885,17.5644304,7.0067725,24.0742423,5.3448851,1.2030572,0.3866197,0.2322499,0.1257553,0,0.0413483,0.0207343,1.8429837,4.1300364
21006006: Ward 6,37.3014216,16.5160294,5.3807816,27.5521673,7.3817347,1.6512442,1.1625085,0.6896227,0.1867998,0.0321447,0.0838853,0.0321447,2.0295154,0
21006007: Ward 7,27.2226034,13.086015,3.2035706,22.6939772,4.1032497,2.3568136,4.1117835,3.0523778,0.7990882,0.2854932,0.0710278,0.2281018,5.5810494,13.2048487
21006008: Ward 8,34.6081221,18.7916838,7.1264862,24.5565104,5.5881204,2.2649829,1.5738814,0.8069616,0.2542891,0.0593326,0.044457,0.0197775,3.7371856,0.5682094
21007001: Ward 1,24.9171091,18.3406,4.9109931,26.0772262,4.3252168,2.5929468,4.199011,2.9935244,0.9460943,0.0484562,0,0.0492206,2.5852491,8.0143524
21007002: Ward 2,34.1699608,26.6797573,5.9525255,21.0516868,3.0114992,2.1554042,2.323632,1.3792274,0.2317069,0.0390196,0.0631817,0,2.5828214,0.3595772
21007003: Ward 3,32.5820769,28.3283454,5.7839412,20.3027773,3.2929814,2.0336458,1.7057903,0.6953627,0.3318624,0.215893,0.0479762,0.0239881,3.511062,1.1442974
21007004: Ward 4,30.3078892,25.2998593,5.5368505,21.8598113,6.233784,1.9840328,2.1223152,1.7321033,0.5865838,0.2441654,0.0610414,0.1220827,1.7586927,2.1507883
21008001: Ward 1,32.5749122,17.6531857,2.5357098,21.1157761,12.8153509,3.6380593,2.2109329,2.4084766,0.9801439,0.2602812,0.0867604,0.1735208,3.5468902,0
21008002: Ward 2,38.4463204,16.3993932,3.6389325,13.2677599,8.0127285,4.1268767,3.2000046,1.3257304,0.5010942,0,0,0.0358642,11.0452955,0
21008003: Ward 3,27.863927,1.7867693,0.8165774,4.6384916,6.5947565,9.7165822,13.4925087,11.1691395,3.1518657,1.6331547,1.769251,0.1360962,17.2308803,0
21008004: Ward 4,37.4559487,23.2273619,4.4958407,14.7427225,7.1156091,3.650393,2.0820621,1.2992974,0.1164806,0.0156057,0.0315779,0.0153871,4.6415674,1.1101459
21008005: Ward 5,43.6474636,12.7049735,5.649263,11.5716886,6.9971477,3.2126245,2.4136489,1.6197699,0.2758367,0,0,0,6.4808182,5.4267653
21008006: Ward 6,39.3418165,25.3791728,5.0373165,14.2447457,7.970278,3.1388321,1.7314612,0.3799181,0.0377135,0,0.0198074,0,2.7189381,0
21008007: Ward 7,41.0495452,9.6862648,6.6922618,20.3913327,7.3370891,3.7057045,2.5287687,1.6885209,0.4166946,0.0737245,0.0195923,0.0195923,6.3165648,0.0743437
21008008: Ward 8,30.2069228,2.0942923,1.7479639,8.6175891,7.7547533,11.0382418,11.8324323,7.6248024,2.3628143,0.9115942,0.5021567,0.2639613,12.7917613,2.2507142
21008009: Ward 9,45.038235,17.0362877,4.6426149,17.9844937,3.7908253,2.3539601,1.59863,1.0842779,0.2606782,0.0222926,0.044487,0,5.9716313,0.1715864
21008010: Ward 10,34.8653698,22.4323896,3.7190261,27.2911002,3.8683913,1.5776861,0.6906226,0.4776025,0.1553712,0,0.0162228,0.0162228,4.8899947,0
21008011: Ward 11,27.9957756,1.4675102,2.8054534,7.5446965,8.094541,10.8058018,10.1572554,6.8652113,1.2388224,0.7567876,0.2254839,0.1879032,14.5054444,7.3493133
21008012: Ward 12,32.5180697,16.7617141,4.593499,13.4275775,9.5149089,5.0325766,5.1101182,3.7953456,1.9636177,0.7210378,0.1767908,0.2328724,5.9887897,0.1630821
