ward_id,no_income,r_1_r_400,r_401_r_800,r_801_r_1_600,r_1_601_r_3_200,r_3_201_r_6_400,r_6_401_r_12_800,r_12_801_r_25_600,r_25_601_r_51_200,r_51_201_r_102_400,r_102_401_r_204_800,r_204_801_or_more,unspecified,not_applicable
10101001,36.082,16.384,3.886,17.689,5.989,5.121,4.484,2.475,0.847,0.17,0.151,0.067,5.167,1.489
10101002,31.787,15.469,2.324,19.41,8.122,5.212,4.224,2.602,1.001,0.294,0.177,0.187,3.985,5.205
10101003,41.575,16.186,3.244,17.323,8.075,4.308,3.021,1.397,0.402,0.017,0.034,0,4.419,0
10101004,33.423,14.21,2.156,20.265,9.007,4.976,3.956,1.534,0.336,0.064,0.02,0.024,4.427,5.601
10101005,27.474,10.886,1.522,28.867,5.836,5.66,6.466,4.79,1.647,0.624,0.117,0.016,3.654,2.439
10101006,36.987,10.667,3.227,24.263,7.32,4.466,3.069,2.033,0.324,0.131,0.134,0.066,7.284,0.028
10101007,29.427,14.121,4.245,22.792,7.844,5.883,3.77,2.59,0.678,0.197,0.139,0.027,3.782,4.504
10101008,32.149,19.371,4.556,21.563,5.852,3.02,2.917,1.626,0.607,0.103,0.147,0.103,5.92,2.067
10102001,22.642,14.885,3.324,35.328,8.247,2.109,1.396,0.592,0.305,0.129,0.037,0.018,9.604,1.381
10102002,29.227,7.479,2.431,13.73,13.118,7.162,5.047,3.203,0.799,0.228,0.019,0.039,7.412,10.105
10102003,46.045,4.515,2.726,15.59,8.531,6.001,3.271,2.177,0.298,0.043,0.08,0.105,7.348,3.27
10102004,29.093,11.164,3.554,28.732,6.027,3.144,2.232,1.267,0.275,0.136,0.081,0,10.749,3.546
10102005,35.597,14.32,2.338,19.947,9.084,5.503,3.363,2.066,0.473,0.125,0.016,0.095,3.278,3.795
10102006,32.218,7.168,2.625,30.214,8.35,3.223,2.588,1.809,0.612,0.128,0.122,0.098,8.665,2.18
10103001,24.237,9.56,2.131,25.101,9.184,3.861,5.172,3.398,0.971,0.196,0.102,0.222,7.119,8.747
10103002,27.061,19.467,4.264,27.927,9.086,4.387,1.883,0.703,0.204,0,0,0,4.903,0.115
